mode;game_id
Multiplayer;847
Co-operative;847
Split screen;847
Single player;848
Multiplayer;848
Single player;849
Multiplayer;849
Single player;850
Multiplayer;850
Single player;851
Single player;853
Multiplayer;853
Co-operative;853
Single player;854
Single player;855
Single player;856
Multiplayer;856
Co-operative;856
Single player;857
Multiplayer;857
Co-operative;857
Single player;858
Multiplayer;858
Co-operative;858
Single player;859
Multiplayer;859
Single player;860
Multiplayer;860
Single player;861
Single player;862
Single player;863
Multiplayer;863
Single player;864
Multiplayer;864
Single player;865
Multiplayer;865
Single player;866
Multiplayer;866
Single player;867
Multiplayer;867
Single player;868
Single player;869
Single player;870
Multiplayer;870
Co-operative;870
Single player;871
Single player;872
Multiplayer;872
Single player;873
Multiplayer;873
Co-operative;873
Single player;874
Multiplayer;874
Co-operative;874
Single player;875
Multiplayer;875
Co-operative;875
Single player;876
Multiplayer;876
Single player;877
Multiplayer;877
Single player;879
Multiplayer;879
Co-operative;879
Single player;880
Single player;881
Multiplayer;881
Single player;882
Multiplayer;882
Single player;883
Multiplayer;883
Single player;884
Multiplayer;884
Single player;885
Single player;886
Multiplayer;886
Single player;887
Multiplayer;887
Single player;888
Multiplayer;888
Single player;889
Single player;890
Multiplayer;891
Co-operative;891
Single player;894
Single player;895
Single player;896
Multiplayer;896
Single player;897
Multiplayer;897
Single player;898
Single player;899
Single player;900
Multiplayer;900
Single player;901
Single player;903
Multiplayer;903
Single player;904
Multiplayer;904
Single player;905
Multiplayer;905
Single player;906
Multiplayer;906
Single player;907
Multiplayer;907
Single player;908
Multiplayer;908
Co-operative;908
Single player;909
Multiplayer;909
Co-operative;909
Split screen;909
Single player;910
Single player;911
Multiplayer;911
Co-operative;911
Single player;912
Single player;913
Multiplayer;913
Multiplayer;914
Single player;915
Multiplayer;915
Single player;916
Single player;917
Multiplayer;917
Single player;918
Multiplayer;918
Single player;919
Single player;920
Single player;921
Multiplayer;921
Single player;922
Multiplayer;922
Single player;923
Multiplayer;923
Single player;925
Multiplayer;925
Co-operative;925
Single player;926
Multiplayer;926
Single player;927
Multiplayer;927
Single player;928
Multiplayer;928
Single player;929
Massively Multiplayer Online (MMO);930
Single player;931
Multiplayer;931
Single player;932
Multiplayer;932
Single player;933
Single player;934
Single player;935
Single player;936
Multiplayer;936
Single player;937
Multiplayer;937
Single player;938
Multiplayer;938
Single player;939
Single player;941
Multiplayer;941
Single player;942
Co-operative;942
Single player;943
Multiplayer;943
Single player;944
Multiplayer;944
Single player;945
Multiplayer;945
Single player;946
Multiplayer;946
Single player;947
Multiplayer;947
Single player;948
Multiplayer;948
Co-operative;948
Single player;949
Multiplayer;949
Single player;950
Multiplayer;950
Single player;951
Single player;952
Multiplayer;952
Co-operative;952
Single player;953
Multiplayer;953
Single player;954
Multiplayer;954
Co-operative;954
Single player;958
Single player;959
Multiplayer;959
Single player;960
Multiplayer;960
Single player;961
Multiplayer;961
Co-operative;961
Single player;964
Multiplayer;964
Single player;965
Multiplayer;965
Single player;966
Single player;967
Single player;968
Multiplayer;968
Single player;969
Single player;970
Single player;971
Single player;972
Multiplayer;972
Single player;973
Multiplayer;973
Single player;974
Single player;975
Co-operative;975
Single player;976
Multiplayer;976
Single player;977
Multiplayer;977
Co-operative;977
Single player;978
Multiplayer;978
Co-operative;978
Single player;979
Multiplayer;979
Co-operative;979
Split screen;979
Single player;980
Multiplayer;980
Single player;981
Multiplayer;981
Co-operative;981
Single player;982
Multiplayer;982
Single player;983
Multiplayer;983
Single player;984
Multiplayer;984
Single player;985
Co-operative;985
Single player;986
Multiplayer;986
Co-operative;986
Split screen;986
Single player;987
Multiplayer;987
Co-operative;987
Split screen;987
Single player;988
Multiplayer;988
Co-operative;988
Single player;989
Multiplayer;989
Co-operative;989
Single player;990
Multiplayer;990
Co-operative;990
Split screen;990
Single player;991
Multiplayer;991
Co-operative;991
Split screen;991
Single player;992
Multiplayer;992
Single player;993
Multiplayer;993
Single player;994
Multiplayer;994
Single player;995
Multiplayer;995
Co-operative;995
Single player;996
Co-operative;996
Single player;997
Co-operative;997
Single player;998
Single player;999
Multiplayer;999
Single player;1000
Multiplayer;1000
Single player;1001
Single player;1002
Single player;1003
Single player;1004
Massively Multiplayer Online (MMO);1005
Single player;1006
Multiplayer;1006
Co-operative;1006
Single player;1007
Single player;1008
Single player;1009
Multiplayer;1009
Single player;1010
Single player;1011
Multiplayer;1011
Co-operative;1011
Multiplayer;1012
Single player;1013
Multiplayer;1013
Multiplayer;1014
Co-operative;1014
Massively Multiplayer Online (MMO);1014
Single player;1015
