platform;game;date;category
6;1746;1006992000;0
45;1243;1163116800;0
36;1277;1283904000;0
11;1298;1100563200;0
6;1605;1437436800;0
55;1507;1158278400;0
6;1496;846720000;0
46;1530;1371772800;0
39;1684;1292803200;0
8;1528;1007337600;0
21;1562;1031529600;0
47;1499;1211241600;0
46;1277;1329868800;0
21;1644;1076457600;0
34;1331;1423612800;0
14;1585;1318464000;0
37;1585;1318464000;0
11;1296;1060128000;0
37;1697;1333497600;0
12;1365;1406678400;0
49;1365;1431388800;0
37;1586;1350432000;0
12;1236;1256601600;0
9;1584;1224547200;0
11;1339;1139529600;0
14;1373;1355961600;0
22;1326;908928000;0
8;1323;1097539200;0
6;1667;794793600;0
6;1410;1067644800;1
8;1294;1038700800;0
52;1247;1196035200;0
6;1363;1353283200;0
39;1351;1266451200;0
55;1459;1157414400;0
74;1334;1464220800;0
39;1676;1282780800;0
36;1564;1214956800;0
34;1564;1384905600;0
34;1338;1495670400;0
4;1539;910051200;0
8;1579;1036281600;0
6;1376;1344556800;0
23;1218;999734400;0
52;1244;858988800;0
9;1247;1256601600;0
7;1259;948153600;0
9;1268;1361232000;0
5;1583;1192665600;0
24;1406;1100217600;0
5;1468;1256774400;0
21;1471;1097712000;0
5;1586;1350432000;0
36;1621;1161302400;0
7;1641;973468800;0
41;1765;1483142400;2
41;1764;1483142400;2
9;1254;1358208000;0
9;1238;1347494400;0
38;1236;1259020800;0
6;1335;1351555200;0
24;1240;1008892800;0
9;1460;1190246400;0
52;1410;1067644800;1
6;1473;;7
6;1216;1360022400;0
6;1362;915062400;2
14;1318;1366848000;0
52;1411;1140739200;0
9;1320;1368489600;0
33;1639;886032000;0
6;1354;1550102400;0
45;1576;1355270400;0
7;1501;882403200;0
11;1644;1076457600;0
9;1305;1376956800;0
92;1375;1285200000;0
48;1405;1467936000;0
38;1453;1328745600;0
8;1289;1036368000;0
38;1302;1285891200;0
8;1322;1031616000;0
32;1550;863481600;0
5;1647;1288656000;0
13;1413;809913600;0
20;1581;1129593600;0
4;1258;941328000;0
92;1270;1285200000;0
8;1298;1100563200;0
11;1299;1123027200;0
3;1363;1369267200;0
14;1362;946598400;2
11;1614;1126828800;0
22;1641;1000166400;0
57;1350;923184000;0
11;1300;1141862400;0
6;1340;1326758400;0
19;1620;813542400;0
8;1773;1099440000;0
6;1270;1285200000;0
8;1249;954374400;0
9;1375;1285113600;0
39;1334;1445472000;0
7;1417;843696000;0
34;1404;1356912000;2
6;1345;1273536000;0
7;1457;985219200;0
22;1558;943142400;0
11;1632;1101081600;0
6;1562;1004400000;0
12;1247;1256601600;0
52;1404;851990400;2
9;1382;1346198400;0
8;1751;1091059200;0
9;1617;1226793600;0
39;1200;1390435200;0
8;1584;1224547200;0
6;1252;939081600;0
47;1437;1262304000;2
24;1537;1002240000;0
8;1311;1118102400;0
6;1352;1559779200;0
8;1244;1112227200;0
38;1301;1187827200;0
12;1238;1347494400;0
20;1458;1285804800;0
52;1563;820368000;2
49;1337;1567468800;0
48;1337;1567468800;0
8;1449;1092873600;0
6;1382;1347926400;0
3;1372;1345507200;0
7;1404;883526400;2
38;1568;1251331200;0
45;1621;1314662400;0
46;1528;1371600000;0
6;1365;1380499200;5
14;1593;1428451200;0
41;1238;1325376000;6
21;1554;1093478400;0
9;1256;1212451200;0
52;1409;1023840000;0
11;1410;1067644800;1
6;1318;1349740800;0
9;1306;1350950400;0
14;1277;1241481600;0
9;1278;1163203200;0
5;1315;1194912000;0
20;1584;1224547200;0
9;1488;1429660800;0
48;1529;1511827200;0
48;1530;1511827200;0
49;1405;1467331200;0
52;1361;915062400;2
16;1538;946598400;2
20;1519;1221264000;0
47;1511;1456531200;0
6;1322;1481500800;0
8;1339;1139529600;0
39;1331;1372809600;0
45;1277;1297123200;0
52;1243;812332800;0
24;1726;1028937600;0
58;1726;893376000;0
24;1588;1032912000;0
6;1684;1292976000;0
52;1674;990403200;0
38;1200;1157500800;0
6;1374;1316476800;0
130;1269;1569456000;0
24;1704;1097712000;0
4;1492;951696000;0
33;1713;934243200;0
9;1318;1349740800;0
11;1616;1161043200;0
23;1622;936835200;0
6;1338;1444089600;0
52;1565;1023235200;0
47;1404;1230681600;2
7;1623;962323200;0
7;1563;851040000;0
5;1702;1216857600;0
12;1216;1360022400;0
52;1659;938649600;5
39;1407;1360195200;0
8;1241;1106784000;0
20;1428;1187827200;0
21;1612;1037491200;0
24;1451;1000339200;0
9;1773;1340928000;0
8;1646;1225411200;0
9;1528;1328572800;0
9;1374;1316476800;0
11;1294;1036972800;0
47;1558;1506038400;0
7;1577;941500800;0
6;1386;;7
6;1375;1285113600;0
58;1499;825033600;0
39;1376;1340841600;0
11;1672;1040256000;0
39;1363;1359590400;0
24;1428;1074816000;0
3;1331;1338422400;0
6;1265;1353369600;0
21;1751;1091059200;0
