genre;game_id
Adventure;462
Point-and-click;463
Adventure;463
Real Time Strategy (RTS);466
Strategy;466
Shooter;471
Adventure;471
Role-playing (RPG);472
Adventure;472
Shooter;473
Shooter;474
Adventure;474
Role-playing (RPG);475
Hack and slash/Beat 'em up;475
Adventure;475
Shooter;476
Adventure;476
Strategy;477
Tactical;477
Role-playing (RPG);478
Adventure;478
Shooter;479
Tactical;479
Adventure;479
Puzzle;480
Adventure;480
Puzzle;481
Adventure;481
Puzzle;482
Adventure;482
Adventure;484
Adventure;485
Adventure;486
Adventure;487
Shooter;488
Adventure;488
Role-playing (RPG);489
Shooter;490
Adventure;490
Role-playing (RPG);491
Hack and slash/Beat 'em up;491
Adventure;491
Shooter;492
Adventure;493
Shooter;494
Shooter;495
Role-playing (RPG);495
Hack and slash/Beat 'em up;496
Adventure;496
Shooter;497
Shooter;498
Role-playing (RPG);498
Hack and slash/Beat 'em up;499
Hack and slash/Beat 'em up;500
Adventure;500
Fighting;501
Hack and slash/Beat 'em up;501
Adventure;501
Shooter;502
Simulator;503
Sport;503
Role-playing (RPG);504
Hack and slash/Beat 'em up;504
Adventure;504
Role-playing (RPG);505
Hack and slash/Beat 'em up;505
Adventure;505
Platform;506
Adventure;506
Platform;507
Adventure;507
Racing;508
Sport;508
Shooter;509
Racing;509
Fighting;510
Platform;511
Shooter;512
Platform;512
Adventure;512
Role-playing (RPG);513
Shooter;514
Adventure;514
Shooter;515
Platform;515
Puzzle;515
Adventure;515
Role-playing (RPG);516
Shooter;517
Shooter;518
Shooter;519
Shooter;520
Role-playing (RPG);521
Adventure;521
Role-playing (RPG);522
Adventure;522
Shooter;523
Platform;523
Puzzle;523
Role-playing (RPG);523
Racing;524
Sport;524
Racing;526
Shooter;527
Indie;527
Shooter;528
Shooter;529
Adventure;529
Shooter;530
Tactical;530
Shooter;531
Simulator;531
Strategy;531
Shooter;532
Indie;532
Shooter;533
Adventure;533
Platform;534
Puzzle;534
Role-playing (RPG);534
Adventure;534
Shooter;535
Role-playing (RPG);535
Shooter;536
Hack and slash/Beat 'em up;536
Turn-based strategy (TBS);537
Adventure;537
Shooter;538
Adventure;538
Shooter;539
Platform;540
Adventure;540
Racing;541
Simulator;541
Arcade;541
Puzzle;542
Adventure;542
Shooter;543
Adventure;543
Shooter;544
Shooter;545
Shooter;546
Shooter;547
Shooter;548
Strategy;549
Adventure;549
Hack and slash/Beat 'em up;550
Adventure;550
Platform;551
Hack and slash/Beat 'em up;551
Adventure;551
Hack and slash/Beat 'em up;552
Adventure;552
Platform;553
Adventure;553
Racing;554
Shooter;555
Adventure;555
Shooter;556
Puzzle;557
Hack and slash/Beat 'em up;557
Adventure;557
Shooter;558
Racing;558
Adventure;558
Shooter;559
Shooter;560
Racing;561
Sport;561
Shooter;562
Adventure;562
Role-playing (RPG);563
Turn-based strategy (TBS);563
Shooter;564
Tactical;564
Shooter;565
Platform;565
Adventure;565
Shooter;566
Adventure;566
Racing;567
Role-playing (RPG);568
Hack and slash/Beat 'em up;568
Adventure;568
Shooter;569
Platform;570
Hack and slash/Beat 'em up;570
Adventure;570
Shooter;571
Shooter;572
Simulator;572
Strategy;572
Tactical;572
Hack and slash/Beat 'em up;573
Adventure;573
Shooter;574
Shooter;575
Adventure;575
Role-playing (RPG);576
Adventure;576
Indie;576
Shooter;578
Role-playing (RPG);578
Strategy;582
Sport;583
Racing;584
Simulator;585
Strategy;585
Shooter;586
Platform;586
Real Time Strategy (RTS);587
Strategy;587
Role-playing (RPG);589
Strategy;589
Turn-based strategy (TBS);589
Role-playing (RPG);590
Strategy;590
Turn-based strategy (TBS);590
Role-playing (RPG);591
Strategy;591
Turn-based strategy (TBS);591
Simulator;592
Shooter;593
Arcade;593
Shooter;594
Real Time Strategy (RTS);595
Simulator;595
Strategy;595
Real Time Strategy (RTS);596
Simulator;596
Strategy;596
Shooter;597
Tactical;597
Simulator;600
Role-playing (RPG);602
Adventure;602
Role-playing (RPG);603
Point-and-click;604
Puzzle;604
Adventure;604
Simulator;605
Sport;605
Real Time Strategy (RTS);606
Strategy;606
Strategy;608
Turn-based strategy (TBS);608
Real Time Strategy (RTS);609
Strategy;609
Real Time Strategy (RTS);610
Strategy;610
Strategy;611
Turn-based strategy (TBS);611
Shooter;613
Real Time Strategy (RTS);613
Simulator;613
Strategy;613
Puzzle;614
Puzzle;615
Strategy;615
Point-and-click;616
Puzzle;616
Adventure;616
Shooter;617
Strategy;617
Tactical;617
Shooter;618
Strategy;618
Shooter;619
Simulator;619
Strategy;619
Tactical;619
Racing;620
Shooter;621
Shooter;622
Shooter;623
Simulator;623
Shooter;625
Adventure;625
Fighting;626
Racing;626
Racing;627
Simulator;627
Sport;627
Adventure;627
Simulator;628
Sport;628
Strategy;629
Turn-based strategy (TBS);629
Sport;630
Strategy;630
Sport;631
Strategy;631
Sport;632
Strategy;632
Strategy;634
Turn-based strategy (TBS);634
Shooter;636
Puzzle;636
Adventure;636
Real Time Strategy (RTS);637
Strategy;637
Tactical;637
Real Time Strategy (RTS);638
Simulator;638
Strategy;638
Real Time Strategy (RTS);639
Strategy;639
Tactical;639
Real Time Strategy (RTS);640
Simulator;640
Strategy;640
Racing;641
Simulator;641
Sport;641
Racing;642
Simulator;642
Sport;642
Simulator;643
Simulator;644
Simulator;645
Strategy;645
Turn-based strategy (TBS);645
Simulator;646
Strategy;646
Turn-based strategy (TBS);646
Tactical;646
Real Time Strategy (RTS);647
Strategy;647
Real Time Strategy (RTS);648
Strategy;648
Real Time Strategy (RTS);649
Strategy;649
Real Time Strategy (RTS);650
Strategy;650
Real Time Strategy (RTS);652
Strategy;652
Shooter;653
Real Time Strategy (RTS);653
Strategy;653
Tactical;653
Adventure;653
Real Time Strategy (RTS);654
Strategy;654
Strategy;655
Turn-based strategy (TBS);655
Shooter;656
Role-playing (RPG);657
Real Time Strategy (RTS);658
Strategy;658
Real Time Strategy (RTS);659
Strategy;659
Role-playing (RPG);660
Real Time Strategy (RTS);661
Strategy;661
Tactical;661
Indie;661
Real Time Strategy (RTS);662
Simulator;662
Strategy;662
Adventure;662
Real Time Strategy (RTS);663
Strategy;663
Real Time Strategy (RTS);664
Strategy;664
Racing;665
Fighting;666
Shooter;666
Tactical;666
Shooter;667
Simulator;667
Shooter;668
Simulator;668
Simulator;669
Real Time Strategy (RTS);670
Strategy;670
Role-playing (RPG);671
Shooter;672
Role-playing (RPG);674
Strategy;674
Racing;675
Simulator;675
Real Time Strategy (RTS);676
Strategy;676
Platform;677
Simulator;677
Real Time Strategy (RTS);678
Strategy;678
Simulator;679
Shooter;680
Strategy;680
Real Time Strategy (RTS);681
Simulator;681
Strategy;681
Real Time Strategy (RTS);682
Simulator;682
Strategy;682
Real Time Strategy (RTS);683
Strategy;683
Strategy;684
Simulator;685
Role-playing (RPG);686
Simulator;687
Simulator;688
Racing;689
Simulator;689
Racing;690
Simulator;690
Racing;691
Simulator;691
Sport;691
Simulator;692
Simulator;693
Strategy;693
Role-playing (RPG);694
Adventure;694
Simulator;695
Sport;696
Sport;697
Sport;698
Simulator;699
Sport;699
Sport;700
Sport;701
Sport;702
Sport;703
Simulator;704
Sport;704
Sport;705
Shooter;706
Real Time Strategy (RTS);707
Strategy;707
Simulator;708
Adventure;708
Simulator;709
Simulator;710
Simulator;711
Simulator;712
Simulator;713
Simulator;714
Simulator;715
Simulator;716
Sport;716
Strategy;716
Simulator;717
Sport;717
Strategy;717
Shooter;718
Racing;718
Simulator;718
Shooter;719
Simulator;719
Role-playing (RPG);720
Strategy;720
Tactical;720
Role-playing (RPG);721
Strategy;721
Tactical;721
Simulator;722
Strategy;723
Turn-based strategy (TBS);723
Strategy;724
Turn-based strategy (TBS);724
Turn-based strategy (TBS);725
Puzzle;726
Strategy;726
Racing;727
Simulator;727
Sport;727
Racing;728
Simulator;728
Sport;728
Racing;729
Simulator;729
Sport;729
Shooter;730
Racing;730
Simulator;730
Adventure;730
Shooter;731
Racing;731
Adventure;731
Shooter;732
Racing;732
Sport;732
Adventure;732
Shooter;733
Racing;733
Adventure;733
Arcade;733
Real Time Strategy (RTS);734
Strategy;734
Real Time Strategy (RTS);735
Strategy;735
Adventure;735
Racing;736
Simulator;736
Sport;736
Racing;737
Simulator;737
Sport;737
Racing;738
Simulator;738
Sport;738
Role-playing (RPG);739
Strategy;739
Adventure;739
Shooter;740
Real Time Strategy (RTS);741
Strategy;741
Real Time Strategy (RTS);742
Simulator;742
Strategy;743
Shooter;745
Sport;746
Shooter;747
Simulator;747
Shooter;748
Tactical;748
Real Time Strategy (RTS);749
Strategy;749
Adventure;749
Real Time Strategy (RTS);750
Simulator;750
Strategy;750
Adventure;750
Real Time Strategy (RTS);751
Simulator;751
Strategy;751
Adventure;751
Strategy;752
Role-playing (RPG);753
Strategy;753
Simulator;754
Simulator;755
Simulator;756
Simulator;757
Shooter;758
Simulator;758
Real Time Strategy (RTS);759
Strategy;759
Shooter;760
Racing;760
Sport;761
Sport;762
Real Time Strategy (RTS);763
Role-playing (RPG);763
Strategy;763
Shooter;764
Platform;764
Shooter;765
Role-playing (RPG);765
Simulator;765
Real Time Strategy (RTS);766
Strategy;766
Real Time Strategy (RTS);767
Strategy;767
Strategy;768
Turn-based strategy (TBS);768
Shooter;769
Platform;769
Puzzle;769
Adventure;769
Sport;770
Sport;771
Simulator;772
Sport;772
Simulator;773
Role-playing (RPG);774
Adventure;774
Real Time Strategy (RTS);775
Strategy;775
Turn-based strategy (TBS);775
Simulator;776
Sport;776
Simulator;777
Sport;777
Simulator;778
Sport;778
Simulator;779
Sport;779
Shooter;780
Real Time Strategy (RTS);781
Simulator;781
Strategy;781
Role-playing (RPG);782
Shooter;783
Role-playing (RPG);783
Tactical;783
Simulator;784
Simulator;785
Simulator;786
Shooter;787
Sport;787
Indie;787
Simulator;788
Simulator;789
Role-playing (RPG);790
Point-and-click;791
Real Time Strategy (RTS);791
Strategy;791
Adventure;791
Strategy;792
Turn-based strategy (TBS);792
Racing;793
Simulator;793
Racing;795
Sport;795
Sport;796
Puzzle;797
Adventure;797
Puzzle;798
Adventure;798
Real Time Strategy (RTS);799
Strategy;799
Real Time Strategy (RTS);800
Role-playing (RPG);800
Strategy;800
Racing;801
Simulator;801
Sport;801
Racing;802
Simulator;802
Sport;802
Racing;803
Simulator;803
Sport;803
Racing;804
Simulator;804
Sport;804
Racing;805
Simulator;805
Sport;805
Racing;806
Sport;806
Racing;807
Simulator;807
Sport;807
Sport;808
Sport;809
Shooter;810
Simulator;810
Simulator;811
Sport;811
Sport;812
Platform;813
Simulator;813
Sport;813
Simulator;814
Sport;814
Simulator;815
Sport;815
Simulator;816
Sport;816
Sport;817
Sport;818
Strategy;818
Shooter;819
Racing;819
Shooter;820
Turn-based strategy (TBS);821
