id;name;aggregated_rating;first_release_date
405;Final Fantasy XI: Treasures of Aht Urhgan;;1145318400
406;Final Fantasy IV Advance;77.5;1134604800
408;Final Fantasy I & II: Dawn of Souls;50.0;1091059200
409;Final Fantasy XI: Chains of Promathia;90.0;1095292800
411;Final Fantasy XI;63.3333333333333;1021507200
412;Final Fantasy: Crystal Chronicles;90.0;1060300800
413;Final Fantasy X-2;75.0;1047513600
414;Final Fantasy Tactics Advance;90.0;1045180800
416;Final Fantasy XI: Rise of the Zilart;;1050537600
417;Final Fantasy: Origins;;1036022400
418;Final Fantasy X;95.0;995500800
420;Final Fantasy: Chronicles;;993772800
421;Final Fantasy IX;84.1666666666667;962928000
422;LEGO Racers;;933379200
423;Final Fantasy Anthology;;938649600
424;Resident Evil;79.0;827452800
425;Final Fantasy VIII;90.0;918691200
426;Final Fantasy VI;100.0;765244800
427;Final Fantasy VII;85.0;854668800
428;Final Fantasy Tactics;;866764800
429;Call Of Juarez;74.6;1157587200
430;Call Of Juarez: Bound In Blood;78.5714285714286;1246320000
431;Uncharted: Drake's Fortune;89.75;1195430400
432;Total War: Shogun 2;88.0;1300147200
433;The Chronicles of Riddick: Assault on Dark Athena;80.8333333333333;1239062400
434;Red Dead Redemption;91.8;1274140800
436;Shogun: Total War;90.0;960854400
437;Medieval: Total War;90.0;1029715200
438;Rome: Total War;91.0;1095811200
439;Spartan: Total Warrior;77.5;1128643200
440;Medieval II: Total War;90.0;1163116800
441;Empire: Total War;89.8333333333333;1236038400
442;Napoleon: Total War;83.3333333333333;1266883200
450;Operation Flashpoint: Red River;65.25;1303344000
451;Operation Flashpoint: Dragon Rising;79.4;1254787200
452;Blackthorne;;780278400
453;The Death and Return of Superman;;757382400
455;Justice League Task Force;;801964800
457;StarCraft II: Heart of the Swarm;89.1111111111111;1363046400
460;Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe;;788918400
461;Simon the Sorcerer 3D;;1018656000
462;Simon the Sorcerer 4: Chaos Happens;20.0;1172188800
463;Simon the Sorcerer 5: Who'd Even Want Contact?!;;1230768000
466;Warhammer 40,000: Dawn of War II;81.0;1235001600
471;Crysis 2;86.5;1300752000
472;The Elder Scrolls V: Skyrim;96.1111111111111;1320969600
473;Battlefield: Bad Company;88.0;1214179200
474;Metal Gear Solid 2: Substance;80.0;1036454400
475;Star Wars: The Force Unleashed;70.7142857142857;1221523200
476;Star Wars: Battlefront - Elite Squadron;60.0;1257206400
477;Commandos 3: Destination Berlin;70.0;1066089600
478;The Witcher 2: Assassins of Kings;85.7142857142857;1305590400
479;Metal Gear Solid 3: Subsistence;97.5;1135209600
480;Silent Hill;82.0;917740800
481;Silent Hill 2;90.0;1001289600
482;Silent Hill 3;88.0;1053648000
483;Silent Hill 4: The Room;72.3333333333333;1087430400
484;Silent Hill: Origins;80.25;1194307200
485;Silent Hill Homecoming;66.6666666666667;1222732800
486;Silent Hill: Shattered Memories;75.0;1260230400
